#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 01 03 13 40 334 16.4 999 99.0 9999
2014 01 03 13 50 331 15.2 346 21.1 1255
2014 01 03 14 00 331 15.4 999 99.0 9999
2014 01 03 14 10 332 14.5 999 99.0 9999
2014 01 03 14 20 332 15.4 999 99.0 9999
2014 01 03 14 30 332 15.3 999 99.0 9999
2014 01 03 14 40 329 14.6 999 99.0 9999
2014 01 03 14 50 326 15.1 326 19.2 1445
2014 01 03 15 00 324 15.8 999 99.0 9999
2014 01 03 15 10 330 15.2 999 99.0 9999
2014 01 03 15 20 329 14.9 999 99.0 9999
2014 01 03 15 30 331 14.4 999 99.0 9999
2014 01 03 15 40 333 14.2 999 99.0 9999
2014 01 03 15 50 328 14.4 317 19.6 1452
2014 01 03 16 00 331 14.0 999 99.0 9999
2014 01 03 16 10 323 12.6 999 99.0 9999
2014 01 03 16 20 326 11.8 999 99.0 9999
2014 01 03 16 30 322 13.0 999 99.0 9999
2014 01 03 16 40 316 12.7 999 99.0 9999
2014 01 03 16 50 320 12.8 323 17.1 1553
2014 01 03 17 00 318 12.1 999 99.0 9999
2014 01 03 17 10 317 11.8 999 99.0 9999
2014 01 03 17 20 317 11.8 999 99.0 9999
2014 01 03 17 30 316 11.5 999 99.0 9999
2014 01 03 17 40 320 11.9 999 99.0 9999
2014 01 03 17 50 319 12.3 326 15.5 1658
2014 01 03 18 00 317 11.8 999 99.0 9999
2014 01 03 18 10 315 12.4 999 99.0 9999
2014 01 03 18 20 316 12.3 999 99.0 9999
2014 01 03 18 30 312 13.6 999 99.0 9999
2014 01 03 18 40 313 13.4 999 99.0 9999
2014 01 03 18 50 314 12.6 315 16.8 1834
2014 01 03 19 00 325 12.7 999 99.0 9999
2014 01 03 19 10 323 12.0 999 99.0 9999
2014 01 03 19 20 322 12.1 999 99.0 9999
2014 01 03 19 30 316 12.5 999 99.0 9999
2014 01 03 19 40 319 11.7 999 99.0 9999
2014 01 03 19 50 319 11.6 329 17.2 1855
2014 01 03 20 00 317 11.9 999 99.0 9999
2014 01 03 20 10 314 12.4 999 99.0 9999
2014 01 03 20 20 320 12.5 999 99.0 9999
2014 01 03 20 30 325 12.0 999 99.0 9999
2014 01 03 20 40 323 11.9 999 99.0 9999
2014 01 03 20 50 327 11.6 310 16.5 2011
2014 01 03 21 00 326 11.6 999 99.0 9999
2014 01 03 21 10 325 10.9 999 99.0 9999
2014 01 03 21 20 326 11.8 999 99.0 9999
2014 01 03 21 30 319 11.3 999 99.0 9999
2014 01 03 21 40 326 10.7 999 99.0 9999
2014 01 03 21 50 325 11.1 321 15.7 2111
2014 01 03 22 00 325 10.5 999 99.0 9999
2014 01 03 22 10 318 10.4 999 99.0 9999
2014 01 03 22 20 318 10.5 999 99.0 9999
2014 01 03 22 30 319 10.6 999 99.0 9999
2014 01 03 22 40 321  9.7 999 99.0 9999
2014 01 03 22 50 320  9.4 311 14.0 2213
2014 01 03 23 00 324  9.1 999 99.0 9999
2014 01 03 23 10 318  9.8 999 99.0 9999
2014 01 03 23 20 318  9.3 999 99.0 9999
2014 01 03 23 30 318  9.0 999 99.0 9999
2014 01 03 23 40 321  8.5 999 99.0 9999
2014 01 03 23 50 321  8.4 300 12.9 2306
2014 01 04 00 00 324  7.3 999 99.0 9999
2014 01 04 00 10 325  8.5 999 99.0 9999
2014 01 04 00 20 309  7.5 999 99.0 9999
2014 01 04 00 30 318  7.8 999 99.0 9999
2014 01 04 00 40 316  7.8 999 99.0 9999
2014 01 04 00 50 319  7.6 314 11.6 0001
2014 01 04 01 00 325  7.5 999 99.0 9999
2014 01 04 01 10 309  7.4 999 99.0 9999
2014 01 04 01 20 310  7.9 999 99.0 9999
2014 01 04 01 30 324  7.8 999 99.0 9999
2014 01 04 01 40 323  8.0 999 99.0 9999
2014 01 04 01 50 322  8.0 329 10.9 0144
2014 01 04 02 00 320  8.0 999 99.0 9999
2014 01 04 02 10 322  7.2 999 99.0 9999
