#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 07 02 06 30 265  4.2  5.5 99.00 99.00 99.00 999 1010.0 999.0  21.9 999.0 99.0 99.00 
2020 07 02 06 40 261  4.5  5.5  0.94  8.33  5.92  99 1010.0 999.0  21.8 999.0 99.0 99.00 
2020 07 02 06 50 259  4.3  5.5 99.00 99.00 99.00 999 1010.0 999.0  21.8 999.0 99.0 99.00 
2020 07 02 07 00 259  3.9  5.1 99.00 99.00 99.00 999 1009.8 999.0  21.8 999.0 99.0 99.00 
2020 07 02 07 10 260  4.0  4.8 99.00 99.00 99.00 999 1009.8 999.0  21.7 999.0 99.0 99.00 
2020 07 02 07 20 263  3.7  4.8 99.00 99.00 99.00 999 1009.7 999.0  21.7 999.0 99.0 99.00 
2020 07 02 07 30 266  4.1  5.4 99.00 99.00 99.00 999 1009.7 999.0  21.6 999.0 99.0 99.00 
2020 07 02 07 40 281  4.4  5.4  0.86  8.33  5.61 104 1009.6 999.0  21.6 999.0 99.0 99.00 
2020 07 02 07 50 285  4.2  5.4 99.00 99.00 99.00 999 1009.5 999.0  21.7 999.0 99.0 99.00 
2020 07 02 08 00 287  3.7  4.8 99.00 99.00 99.00 999 1009.5 999.0  21.7 999.0 99.0 99.00 
2020 07 02 08 10 290  3.6  4.6 99.00 99.00 99.00 999 1009.4 999.0  21.7 999.0 99.0 99.00 
2020 07 02 08 20 288  3.5  4.9 99.00 99.00 99.00 999 1009.3 999.0  21.6 999.0 99.0 99.00 
2020 07 02 08 30 293  3.7  4.7 99.00 99.00 99.00 999 1009.4 999.0  21.6 999.0 99.0 99.00 
2020 07 02 08 40 297  3.6  4.6  0.85  7.69  6.05 115 1009.4 999.0  21.6 999.0 99.0 99.00 
2020 07 02 08 50 309  3.7  5.6 99.00 99.00 99.00 999 1009.5 999.0  21.6 999.0 99.0 99.00 
2020 07 02 09 00 316  4.4  6.0 99.00 99.00 99.00 999 1009.5 999.0  21.6 999.0 99.0 99.00 
2020 07 02 09 10 318  4.2  5.2 99.00 99.00 99.00 999 1009.6 999.0  21.6 999.0 99.0 99.00 
2020 07 02 09 20 319  4.1  5.3 99.00 99.00 99.00 999 1009.7 999.0  21.5 999.0 99.0 99.00 
2020 07 02 09 30 322  4.8  5.6 99.00 99.00 99.00 999 1009.9 999.0  21.5 999.0 99.0 99.00 
2020 07 02 09 40 341  4.0  5.9  0.79  8.33  6.38 118 1010.0 999.0  21.6 999.0 99.0 99.00 
2020 07 02 09 50 355  3.8  4.8 99.00 99.00 99.00 999 1010.0 999.0  21.6 999.0 99.0 99.00 
2020 07 02 10 00 352  3.6  4.4 99.00 99.00 99.00 999 1010.1 999.0  21.6 999.0 99.0 99.00 
2020 07 02 10 10 348  3.5  4.5 99.00 99.00 99.00 999 1010.2 999.0  21.6 999.0 99.0 99.00 
2020 07 02 10 20 346  3.6  4.5 99.00 99.00 99.00 999 1010.3 999.0  21.6 999.0 99.0 99.00 
2020 07 02 10 30 339  3.4  4.3 99.00 99.00 99.00 999 1010.4 999.0  21.6 999.0 99.0 99.00 
2020 07 02 10 40 337  3.0  4.3  0.83  8.33  5.93 119 1010.4 999.0  21.5 999.0 99.0 99.00 
2020 07 02 10 50 342  2.4  3.0 99.00 99.00 99.00 999 1010.3 999.0  21.6 999.0 99.0 99.00 
2020 07 02 11 00 346  2.7  3.4 99.00 99.00 99.00 999 1010.4 999.0  21.6 999.0 99.0 99.00 
2020 07 02 11 10 337  2.4  3.3 99.00 99.00 99.00 999 1010.5 999.0  21.5 999.0 99.0 99.00 
2020 07 02 11 20 334  2.5  3.2 99.00 99.00 99.00 999 1010.5 999.0  21.6 999.0 99.0 99.00 
2020 07 02 11 30 342  2.0  2.8 99.00 99.00 99.00 999 1010.6 999.0  21.6 999.0 99.0 99.00 
2020 07 02 11 40 345  1.5  2.2  0.75  7.69  6.11 120 1010.5 999.0  21.6 999.0 99.0 99.00 
2020 07 02 11 50 349  0.8  1.4 99.00 99.00 99.00 999 1010.6 999.0  21.5 999.0 99.0 99.00 
2020 07 02 12 00 354  0.6  1.3 99.00 99.00 99.00 999 1010.5 999.0  21.5 999.0 99.0 99.00 
2020 07 02 12 10 346  1.0  1.5 99.00 99.00 99.00 999 1010.6 999.0  21.5 999.0 99.0 99.00 
2020 07 02 12 20 348  0.6  1.1 99.00 99.00 99.00 999 1010.5 999.0  21.5 999.0 99.0 99.00 
